"Category","Hombre","Mujer","Indeterminado"
"10-14",1,0,0
"15-19",2,4,0
"20-24",8,1,0
"25-29",6,0,0
"30-34",5,0,0
"35-39",4,0,0
"40-44",6,0,0
"45-49",6,1,0
"50-54",4,1,0
"55-59",4,1,0
"60-64",4,0,0
"65-69",1,0,0
"70-74",1,0,0
"75-79",3,0,0
"CIFRA SIN EDAD DE REFERENCIA",1,0,0
