"Category","Hombre","Mujer","Indeterminado"
"20-24",1,0,0
"25-29",2,0,0
"30-34",1,1,0
"35-39",3,0,0
"40-44",2,1,0
"45-49",3,0,0
"50-54",2,1,0
"60-64",1,1,0
"65-69",1,0,0
