"Category","Hombre","Mujer","Indeterminado"
"15-19",3,3,0
"20-24",4,5,0
"25-29",3,1,0
"30-34",1,1,0
"35-39",3,2,0
"40-44",2,1,0
"45-49",5,0,0
"50-54",7,1,0
"60-64",1,0,0
"65-69",5,1,0
"70-74",2,0,0
"75-79",2,0,0
"MÁS DE 80",1,1,0
