"Category","Hombre","Mujer","Indeterminado"
"0-4",4,2,0
"10-14",0,2,0
"15-19",5,3,0
"20-24",21,4,0
"25-29",23,2,0
"30-34",24,2,0
"35-39",9,3,0
"40-44",8,0,0
"45-49",10,1,0
"50-54",9,1,0
"55-59",4,0,0
"60-64",3,1,0
"65-69",4,1,0
"70-74",4,0,0
"75-79",2,0,0
"MÁS DE 80",4,2,0
"CIFRA SIN EDAD DE REFERENCIA",6,0,0
