"Category","Hombre","Mujer","Indeterminado"
"0-4",50,44,0
"5-9",47,36,0
"10-14",178,368,0
"15-19",387,736,0
"20-24",369,204,0
"25-29",338,140,0
"30-34",289,99,0
"35-39",247,77,0
"40-44",193,66,0
"45-49",145,41,0
"50-54",106,29,0
"55-59",56,18,0
"60-64",49,15,0
"65-69",39,15,0
"70-74",22,7,0
"75-79",21,6,0
"MÁS DE 80",29,10,0
"CIFRA SIN EDAD DE REFERENCIA",65,15,0
