"Category","Hombre","Mujer","Indeterminado"
"0-4",46,37,0
"5-9",22,22,0
"10-14",103,201,3
"15-19",162,430,0
"20-24",100,90,0
"25-29",98,51,0
"30-34",84,37,0
"35-39",62,25,0
"40-44",57,26,0
"45-49",46,18,0
"50-54",34,14,0
"55-59",18,8,0
"60-64",16,5,0
"65-69",10,9,0
"70-74",10,8,0
"75-79",8,2,0
"MÁS DE 80",20,9,0
"CIFRA SIN EDAD DE REFERENCIA",5,4,1
