"Category","Hombre","Mujer","Indeterminado"
"0-4",66,70,0
"5-9",64,64,0
"10-14",96,210,0
"15-19",160,673,0
"20-24",93,271,0
"25-29",62,97,0
"30-34",62,55,0
"35-39",53,38,0
"40-44",32,19,0
"45-49",29,8,0
"50-54",30,10,0
"55-59",18,5,0
"60-64",13,2,0
"65-69",8,3,0
"70-74",10,6,0
"75-79",6,4,0
"MÁS DE 80",11,5,0
"CIFRA SIN EDAD DE REFERENCIA",8,29,0
