"Category","Hombre","Mujer","Indeterminado"
"0-4",29,34,0
"5-9",18,16,0
"10-14",49,173,0
"15-19",66,292,0
"20-24",59,71,0
"25-29",36,33,0
"30-34",31,24,0
"35-39",29,16,0
"40-44",24,10,0
"45-49",29,4,0
"50-54",20,5,0
"55-59",14,4,0
"60-64",14,1,0
"65-69",9,1,0
"70-74",5,0,0
"75-79",3,1,0
"MÁS DE 80",4,1,0
"CIFRA SIN EDAD DE REFERENCIA",4,4,0
