"Category","Hombre","Mujer","Indeterminado"
"0-4",112,134,0
"5-9",39,33,0
"10-14",148,465,0
"15-19",211,677,0
"20-24",77,101,0
"25-29",50,44,0
"30-34",51,49,0
"35-39",50,25,0
"40-44",42,19,0
"45-49",18,9,0
"50-54",25,5,0
"55-59",18,3,0
"60-64",15,8,0
"65-69",6,0,0
"70-74",9,4,0
"75-79",11,2,0
"MÁS DE 80",15,2,0
