"Category","Hombre","Mujer","Indeterminado"
"0-4",7,10,0
"5-9",7,4,0
"10-14",13,14,0
"15-19",108,55,0
"20-24",143,31,0
"25-29",125,25,0
"30-34",104,17,0
"35-39",92,12,0
"40-44",58,6,0
"45-49",44,3,0
"50-54",33,3,0
"55-59",16,3,0
"60-64",8,1,0
"65-69",11,2,0
"70-74",5,2,0
"75-79",2,0,0
"MÁS DE 80",5,0,0
"CIFRA SIN EDAD DE REFERENCIA",69,9,0
