"Category","Hombre","Mujer","Indeterminado"
"0-4",9,6,0
"5-9",7,4,0
"10-14",26,50,0
"15-19",105,108,0
"20-24",141,61,0
"25-29",114,39,0
"30-34",116,28,0
"35-39",81,23,1
"40-44",64,15,0
"45-49",51,8,0
"50-54",29,5,0
"55-59",15,4,0
"60-64",11,7,0
"65-69",5,2,0
"70-74",8,1,0
"75-79",3,0,0
"MÁS DE 80",2,0,0
"CIFRA SIN EDAD DE REFERENCIA",69,28,0
