"Category","Hombre","Mujer","Indeterminado"
"0-4",12,81,0
"5-9",5,15,0
"10-14",45,92,0
"15-19",298,247,0
"20-24",449,174,2
"25-29",471,118,0
"30-34",381,81,1
"35-39",305,63,1
"40-44",233,43,1
"45-49",153,40,0
"50-54",108,14,0
"55-59",55,18,0
"60-64",56,6,0
"65-69",23,6,0
"70-74",19,8,0
"75-79",28,3,0
"MÁS DE 80",23,4,0
"CIFRA SIN EDAD DE REFERENCIA",1127,197,12
