Category,Hombre,Mujer,Indeterminado
0-4,5,3,0
5-9,6,7,0
10-14,11,16,0
15-19,16,38,0
20-24,14,11,0
25-29,23,11,1
30-34,15,7,0
35-39,13,3,0
40-44,10,5,0
45-49,10,2,0
50-54,7,1,0
55-59,2,1,0
60-64,1,0,0
65-69,1,0,0
70-74,2,0,0
75-79,1,0,0
MÁS DE 80,1,2,0
CIFRA SIN EDAD DE REFERENCIA,7,0,1
