"Category","Hombre","Mujer","Indeterminado"
"0-4",39,25,0
"5-9",20,26,0
"10-14",58,52,0
"15-19",283,119,0
"20-24",395,87,1
"25-29",342,64,1
"30-34",295,49,0
"35-39",239,39,0
"40-44",196,29,0
"45-49",139,22,0
"50-54",85,14,0
"55-59",60,5,0
"60-64",29,5,0
"65-69",14,1,0
"70-74",22,0,0
"75-79",6,1,0
"MÁS DE 80",15,1,0
"CIFRA SIN EDAD DE REFERENCIA",418,43,6
