"Category","Hombre","Mujer","Indeterminado"
"0-4",8,8,0
"5-9",11,10,0
"10-14",11,31,0
"15-19",19,27,0
"20-24",19,11,0
"25-29",22,10,0
"30-34",23,6,0
"35-39",22,5,0
"40-44",14,7,0
"45-49",11,2,0
"50-54",5,3,0
"55-59",3,0,0
"60-64",2,1,0
"65-69",3,0,0
"75-79",1,0,0
"MÁS DE 80",1,2,0
"CIFRA SIN EDAD DE REFERENCIA",11,2,0
