"Category","Hombre","Mujer","Indeterminado"
"5-9",1,0,0
"10-14",4,11,0
"15-19",27,27,0
"20-24",28,6,0
"25-29",20,8,0
"30-34",25,7,0
"35-39",24,3,0
"40-44",13,1,0
"45-49",11,3,0
"50-54",7,2,0
"55-59",1,2,0
"60-64",6,1,0
"65-69",2,0,0
"70-74",8,1,0
"75-79",1,0,0
"MÁS DE 80",1,1,0
"CIFRA SIN EDAD DE REFERENCIA",5,4,0
