Category,Hombre,Mujer,Indeterminado
1.CIFRA SIN  AÑO DE REFERENCIA,4,0,0
2008,1,0,0
2012,3,0,0
2013,4,1,0
2014,8,0,0
2015,12,3,0
2016,9,2,0
2017,10,2,0
2018,4,0,0
2020,1,0,0
