Category,Hombre,Mujer,Indeterminado
1.CIFRA SIN  AÑO DE REFERENCIA,26,8,2
2009,2,1,0
2010,1,0,0
2011,7,1,0
2012,2,1,0
2013,10,3,0
2014,1,1,0
2016,1,0,0
2019,3,0,0
2020,3,5,0
