Category,Hombre,Mujer,Indeterminado
1.CIFRA SIN  AÑO DE REFERENCIA,14,0,0
2006,5,0,0
2007,18,1,0
2008,31,5,0
2009,28,1,0
2010,59,6,0
2011,81,2,0
2012,91,6,0
2013,133,17,0
2014,77,9,0
2015,49,4,0
2016,110,6,0
2017,100,6,0
2018,6,0,0
2019,7,0,0
2020,3,3,0
