Category,Hombre,Mujer,Indeterminado
1.CIFRA SIN  AÑO DE REFERENCIA,8,1,0
2008,1,0,0
2010,1,0,0
2011,2,1,0
2012,5,1,0
2013,4,1,0
2014,8,3,0
2015,5,0,0
2017,3,1,0
2018,47,7,0
2019,48,9,0
2020,8,0,0
