Category,Hombre,Mujer,Indeterminado
1.CIFRA SIN  AÑO DE REFERENCIA,1,1,0
2007,1,0,0
2008,2,0,0
2009,1,0,0
2010,1,2,0
2011,2,1,0
2013,1,0,0
2015,1,0,0
2017,3,0,0
2019,10,1,0
2020,1,1,0
